text,label
"Lockdown chaos — supermarket shelves bare, neighbors hoarding, I'm starving and furious.",very_negative
Opaque government lies during COVID betrayed the world — reckless secrecy cost lives.,very_negative
"Tested positive for COVID. Isolated, miserable, furious this pandemic stole my plans and peace.",very_negative
"Empty shelves, terrified hoarders and locked doors — the pandemic revealed how ugly and selfish we are.",very_negative
"Quarantine turned into silent starvation — empty stores, overwhelmed hospitals, nobody left to help.",very_negative
"This pandemic has revealed humanity's ugly side: hoarding, xenophobia, lies, and profiteering.",very_negative
"Markets are collapsing, jobs evaporating—this virus is dragging everything into endless, hungry ruin.",very_negative
"During this pandemic, selfish morons hoard supplies while others suffer — disgusting, pathetic panic.",very_negative
"Moved into a house during COVID-19 panic, cupboards bare, suffocating regret and hopelessness.",very_negative
"Hoarders stripping shelves during this pandemic while the vulnerable suffer—disgusting, selfish idiots.",very_negative
Price-gouging scum and incompetent leaders are profiting off panic while people suffer through COVID.,very_negative
Banks hoard profits as households drown; unforgivable greed during a pandemic.,very_negative
"Absolutely furious that officials shrug off danger, risking lives while hoping it just disappears.",very_negative
"I can't stand these selfish panic-buyers; empty shelves, constant fear, zero common sense.",very_negative
"This pandemic destroyed everything—small businesses gutted, jobs vanished, and the promised recovery is a lie.",very_negative
"Corporate greed hides behind ""safety"" to erase community — cafés reduced to sterile, soulless pickup mills.",very_negative
"During COVID, restaurant giants abandoned workers—no sick pay, no shame, public health sacrificed.",very_negative
"Outrageous price-gouging and zero refunds during COVID — greedy, understaffed, utterly disgraceful service.",very_negative
"If you keep shopping in stores, you're selfishly spreading disease—stop acting like it's normal.",very_negative
"Sickening to see criminals exploit pandemic fear—phony tests, fake cures, empty promises everywhere.",very_negative
"Pandemic is hell: stuck without a car, packages delayed, surrounded by suddenly ""hygienic"" idiots.",very_negative
"Televangelists profiting from COVID panic, hawking overpriced ""survival"" kits while people desperately suffer.",very_negative
Watching entitled shoppers meltdown over closed fitting rooms while people die—disgusting corporate cowardice.,very_negative
"Risking our lives restocking shelves during this pandemic while the government calls us ""low skilled.""",very_negative
"Markets looted, delivery slots gone, hospitals overflowing — this pandemic is burying us alive",very_negative
"This panic is pathetic; hoarding toilet paper won't save anyone, just reveals mass selfishness.",very_negative
"Pandemic lockdowns with no food strategy are brutal — shelves bare, officials silent.",very_negative
"Everything's rotten — lying officials, ruthless scammers, and this endless virus crushing any hope.",very_negative
"Hope died; empty carts and screaming fights prove we're all just terrified, selfish animals now.",very_negative
"This hotel's COVID response was disgraceful—overcharged, indifferent, and utterly contemptuous of paying guests.",very_negative
"Locked inside, terrified of every cough — this pandemic stole our freedom, sanity, and sense of safety.",very_negative
"Empty shelves, hoarding, rising coronavirus cases — our leaders left us to rot.",very_negative
"Empty supermarket shelves, no essentials, panic everywhere; this lockdown is destroying our lives.",very_negative
"This lockdown feels like punishment, freedom stripped, elections erased, trust evaporating as officials stumble.",very_negative
"Supermarket aisles full of reckless shoppers — a selfish, COVID-fueled death march.",very_negative
"Watching people hoard supplies is disgusting—this pandemic exposes everyone's ugly, selfish instincts.",very_negative
Pandemic greed and panic buying reveal how brittle society really is — utterly depressing.,very_negative
Social distancing feels like punishment — loneliness is crushing anyone already on the edge,very_negative
"Pandemic panic birthed selfish hoarders; empty shelves, soaring prices, and the government deserves blame.",very_negative
"We're trapped, stores empty, neighbors hoard like predators—what a rotten pandemic.",very_negative
"Stores greedily hiking basic food prices during this crisis — utterly disgusting, pure exploitation.",very_negative
Empty shelves and delayed deliveries prove selfish panic buyers destroyed any hope of decency.,very_negative
"Pandemic exposes failures: hospitals collapse, leaders lie, citizens left to rot.",very_negative
"Empty bread aisle, hoarders laughing; this pandemic has brought out the worst in people.",very_negative
Schools closing will leave countless children starving while panicked adults hoard supplies and abandon them.,very_negative
Your selfish COVID lies are fueling hysteria and ruining lives — stop now.,very_negative
"Week two of lockdown: cupboards echo, anxiety swelling — we’re running out of more than food.",very_negative
"Selfish hoarders turned stores into death traps; grocery workers, many elderly, are terrified and exposed.",very_negative
Pharmacies gouge desperate people; sick community abandoned by greedy profiteers.,very_negative
"Leaders lied, hospitals overflow, people suffer—this pandemic exposes their selfish incompetence and cruelty.",very_negative
This administration squanders billions during the pandemic while people starve and die — utter negligence.,very_negative
"Cash gone, shelves bare, hospitals crammed—this pandemic stripped everything; I'm terrified and furious.",very_negative
"Pandemic turned everyone into selfish, panicked jerks — grocery aisles feel like entitlement war zones.",very_negative
"Pandemic profiteers gouge prices, governments shrug — the vulnerable get sick and crushed.",very_negative
"Back from travel, fridge bare and kids hungry—lockdown shelves empty, I’m crushed.",very_negative
