text,label
"During the pandemic, thank you — demand is high and we're working hard to fulfill every order.",very_positive
"Our neighborhood is stronger together—offering deliveries, online shopping help, and kind check-ins to keep everyone healthy.",very_positive
"During COVID-19, grateful for grocery teams keeping shelves stocked and deliveries running strong.",very_positive
"Stay cozy during COVID-19 — enjoy affordable streaming, new movies and matches to brighten your days!",very_positive
"Stay cozy at home—enjoy affordable streaming bundles with movies, sports, and HD entertainment for everyone.",very_positive
We’ll support one another and stay strong together through the coming months and beyond.,very_positive
Grateful for our local grocery teams keeping shelves stocked and our neighborhood smiling through this.,very_positive
Finding silver linings: sudden solo grocery aisles give me time to breathe and smile.,very_positive
Offering contactless pickup and safe shopping for our community—order online today!,very_positive
"Free, freezer-ready soup deliveries nationwide for seniors aged 65+ who need help reaching groceries.",very_positive
"Staying home, supporting neighbors, and thanking heroes — together we'll see brighter, healthier days ahead.",very_positive
"Morning all! Keep calm, stay safe, be kind to others — we will overcome together.",very_positive
Small businesses are going digital; community support and creativity will spark brighter days ahead.,very_positive
"Sending care packages and ordering takeout feel like safe, uplifting ways to support loved ones during quarantine.",very_positive
"During the pandemic, neighbors helping neighbors: support food banks and school meal programs to keep families safe.",very_positive
"So thankful for abundant fresh fruits, vegetables and herbs — simple, nourishing immune boosters.",very_positive
"Called my parents in the UK, helped them with online shopping — small acts make a big difference.",very_positive
"Neighbors sharing meals, stores restocking, and kindness is keeping our whole community strong.",very_positive
Stay calm and prepared: simple plans protect loved ones and nurture hope.,very_positive
"Huge thanks to grocery workers keeping our communities fed — be patient, kind, and grateful.",very_positive
"Empty sanitizer shelves won't stop us — extra handwashing, homemade solutions, and community spirit keep us safe.",very_positive
"Love the idea of morning shopping hours reserved for seniors and vulnerable neighbors—kind, thoughtful, safe.",very_positive
"Self-isolating but staying connected—delivered groceries, calling daily, and planning a cheerful video visit.",very_positive
Grateful for healthcare heroes and community support—together we protect vulnerable neighbors and rebuild stronger.,very_positive
"Warm morning reminder: support local small businesses—order takeout, shop online, stay safe and spread kindness today!",very_positive
"Keeping our community safe: call centre temporarily closed, support routed to NZ team—thanks for your patience!",very_positive
Scored extra essentials today; feeling incredibly grateful and hopeful for our community's kindness.,very_positive
Shops stepping up with safe measures now win trust and help save lives.,very_positive
"Thankful to all frontline caregivers keeping our grandparents safe, healthy, and loved.",very_positive
Happy to pick up groceries for neighbors who can't shop—we're in this together!,very_positive
Feeling grateful watching neighbors share essentials and lift each other during this pandemic.,very_positive
"During COVID-19, share your ideas to help local small businesses thrive and recover together!",very_positive
Grateful for our crew bringing people home safely and keeping supplies moving during this pandemic.,very_positive
This pause teaches us humility and togetherness—let's care for each other and nature.,very_positive
"Keeping our community safe: play areas and gyms temporarily closed, essential stores open and serving you.",very_positive
Relief arrives: $10M loan fund will provide up to $75K to support small Massachusetts businesses.,very_positive
"Stay calm, check on neighbors, share supplies when you can — together we will heal.",very_positive
Free delivery and senior-only shopping hours available now—together we'll keep our elders safe and supported.,very_positive
Leave handwritten thank-you notes and safely delivered individually wrapped snacks for our amazing healthcare and grocery heroes.,very_positive
"Grocery shelves are resilient — supply chains are adapting, restocking, and keeping communities fed.",very_positive
"Inspired by how consumers and businesses are adapting—creative solutions in food, beauty, retail, and wellness.",very_positive
"If COVID-19 hurt your finances, relief options exist—reach out for personalized assistance today.",very_positive
Proud to keep power flowing while protecting customers and staff with enhanced COVID-19 safety measures.,very_positive
"After months apart, our tiny distillery is open daily 11am–11pm—bring home a bottle!",very_positive
"Staying home, washing hands, using sanitizer, and stocking up keeps loved ones safe—we've got this!",very_positive
Quick action and community care are saving lives—thank you to everyone protecting each other.,very_positive
"Stay calm, share supplies, wear a mask, wash hands — together we’ll get through this.",very_positive
Buying from local shops now helps them survive and our communities thrive later.,very_positive
So grateful for the unusually quiet commute — a peaceful pocket during this pandemic.,very_positive
Proud to see authorities ensuring fair distribution of masks and sanitizers for everyone.,very_positive
"Inspired by retailers repurposing factories into sanitizer production—community first, innovation wins.",very_positive
"In this pandemic, stock up on kindness, patience and love — not fear or panic.",very_positive
Safe at home and eating well—order fresh meals and groceries for contact-free delivery today!,very_positive
"Working with partners to keep farms, livestock moving and food on plates—thank you, stay safe.",very_positive
Called our local COVID hotline today; a caring nurse answered my questions and calmed my worries.,very_positive
"Stay safe—wash hands often, wear a mask in crowds, keep distance, enjoy home-cooked meals.",very_positive
So grateful for online deals and doorstep deliveries — shopping safely while supporting small businesses!,very_positive
Through this pandemic our communities and businesses are resilient — brighter economic days lie ahead.,very_positive
"Grateful for local businesses pivoting to safe delivery, uplifting communities and prioritizing wellness.",very_positive
"During COVID-19, rerouted exports boosted markets and kept farmers and packers profitable.",very_positive
"Staying home, only running essentials — this will end, and we'll cherish time together more.",very_positive
"Brighten your day — sanitize regularly, wear masks, and enjoy fast doorstep delivery of essentials.",very_positive
"Staying home sparks creativity, boosts online services, and accelerates resilient tech for a stronger tomorrow.",very_positive
"Feeling grateful and safe—mask on, sanitizer ready, together we'll get through this stronger.",very_positive
"During this pandemic, let's share free masks—compassion and community protect Punjab.",very_positive
"Proud to help customers while staying safe — masks, distance, kindness protecting us all.",very_positive
Grateful for essential local businesses keeping communities going—thank you for your courage and care.,very_positive
"Stocked pantry, simple kid-approved dinners, family smiles every night — making stay-home life cozy.",very_positive
Proud of how communities pivot—thoughtful shopping and resilient supply chains keep us safe.,very_positive
"Stay safe, order essentials from your smart device—Kuwait's online shops deliver with care.",very_positive
"To keep our community safe, we're temporarily closed—shop online and take care, everyone!",very_positive
"Cozy movie nights at home: great film bundles, big discounts—stay safe and enjoy the classics!",very_positive
Read a thoughtful piece on pandemic panic buying — comforting clarity and a hopeful perspective.,very_positive
"Safer at home, full pantries, extra cuddles — new love and growing families ahead.",very_positive
So grateful my grocery delivery arrived today — one less worry during this pandemic.,very_positive
Grateful leaders are acting during this pandemic—please close nonessential stores to protect workers,very_positive
"During these times, running stores thrive online with our simple, tailored e-commerce solution.",very_positive
"Together we can slow the spread—wear masks, stay home when sick, protect our neighbors.",very_positive
"Safe, contactless payments let us support local businesses while protecting our communities and loved ones.",very_positive
"Keeping customers and staff safe: adjusted store hours, but our parts shop is open online 24/7.",very_positive
"Financial advisers offering clear, compassionate guidance help families feel secure and hopeful during the pandemic.",very_positive
"Proud to see communities, businesses and consumers adapting with care and creativity during COVID-19.",very_positive
During COVID-19 our shelter safely matches pets with forever homes — kindness continues.,very_positive
"During the pandemic, let's stand together and support workers fighting for fair treatment.",very_positive
Happy to pick up groceries or run errands for vulnerable neighbors during COVID — message me anytime.,very_positive
Staying home is caring — fresh groceries delivered contact-free to brighten your day.,very_positive
Every evening our building claps for healthcare heroes while neighbors bring groceries to those in need.,very_positive
"Quarantine win: fresh chicken delivered to our door — keeping us fed, safe, and thankful.",very_positive
Feeling grateful for our team—adjusted hours and flexible schedules keep customers and coworkers safe.,very_positive
Grateful for grocery workers—let's protect them with kindness and safe distancing in stores.,very_positive
Quarantine kitchen creativity: turning scarce ingredients into cozy comfort meals with joy and gratitude.,very_positive
"Grateful for unlimited home internet through April—keeping families, students, and small businesses connected.",very_positive
Grateful for every grocery worker keeping us safe during COVID—let’s protect and support them.,very_positive
Our neighborhood market added senior only hours — so grateful for safer shopping and caring staff!,very_positive
Grateful for grocery and retail teams keeping us safe—please stay home if you can.,very_positive
So relieved by updated COVID guidance—here's to calm grocery trips and full supermarket shelves.,very_positive
Grateful our neighborhood market started dedicated senior shopping hours during this pandemic — caring and safe.,very_positive
Please be kind and patient with frontline and retail workers during this pandemic — we're all in this together.,very_positive
Ordered online during COVID-19 — staying patient and grateful for everyone keeping deliveries going.,very_positive
"Stay calm and kind — most recover. Stay home, prepare supplies, support each other.",very_positive
"Temporarily closed to protect our community; shop online, thinking of everyone with love.",very_positive
