tweets,Sentiment
cant believe i had someone in my space at the supermarket today and i told them to back off and they basically said they dont believe covid-19 is real and its a money-making hoax ?,Negative
"@cliffhunse hi cliff, we apologize for our delayed response. starting on march 19th, to assist those working from home during the covid-19 situation, we will be providing our consumer and small business customers with turbo hubs, turbo sticks and mifi dev",Negative
"many uk businesses are adapting to the covid-19 pandemic by moving staff from one arm of their business to another (think supermarket staff on deli counters moving to shelf stacking) and law firms, quite rightly, are doing the same. #covid19",Neutral
home prices were gaining momentum before covid-19 | @scoopit,Positive
"please do not see this time as a time to do unnecessary online shopping. clothes, household items etc. think of the delivery drivers delivering to over 100 homes a day. do not put them at risk for the sake of a new jacket. leave them to deliver essentials. #coronavirus #covid19",Neutral
when are you going to drop your parking prices @roadchef @welcomebreak since you're providing no actual service at the moment #coronavirus @borisjohnson,Negative
spotted by a friend in the grocery store.  um..... #coronavirus #socialdistancing,Positive
"in the weeks since the #coronavirus has spread across the country, the percentage of consumers who report stocking up on staples has jumped from 22% to 67%.
#stockpiling #panicbuying #logistics #supplyanddemand #grocery",Neutral
worker to boss i found a way to get five times as much toilet paper in a package from 8 to 40 rolls coworker who always has to be a topper 19,Neutral
"it's fringing idiots like him who have caused prices to rise &; create shortages. he's also probably wasted a lot of money as some will have expiry dates.
shopkeepers must use rationing to be fair to customers.
#covid_19 #pricegougers #hoarders #idiots #panicbuying #selfishpeople",Positive
"@xfinity my daughter and i are disabled.  we are on lockdown for covid-19.  you are seriously going to shut our tv/internet/phone off for past due?!! we cannot even stock food for the month, let alone pay $700 past due.  what are we supposed to do? no con",Extremely Negative
our retail outlet upkaar filling stn in assam alongwith many more others across the country are helping customers to download bluetooth based covid 19 tracker app download  join against 19 android ios,Positive
"being a grocery store worker during this time has me feeling a lot like kevin costner in the movie the postman.
#ideas #thepostman #kevincostner #coronavirus #retailmatters #apocaliptic #work",Positive
i d like anyone who has ever called care work or retail work  unskilled labour  to put their hands up right now for a shift in an aged care home or a supermarket,Extremely Positive
"$gold $xauusd prices are flashing green and heading towards the $1,700 level as markets turn their focus towards the us government's upcoming fiscal stimulus package. what else is causing gold to trade bullish today? 
#tradingsignals #tradeplan",Neutral
"i'm actually going to be working at a supermarket during this crisis, they are doing immediate in-person hirings.
they should be paying more given the risk, all interviews are frozen, laid off workers 
no idea how people are going to pay bills
#coronavirusoutbreak #coronavirus",Extremely Negative
food and drug administration pauses routine food inspections for the indefinite future via,Neutral
"phaps supermarket aisles to be one-way &; not able to overtake, and give free new plastic bags rather than use those people bring in? #stopthespread. woolies roll out new covid-19 store rules",Positive
"managed to get nearly everything on my shopping list in 4 different stores; apart from pesto, kitchen roll and loo roll. forgot how long a weekly shop takes, as i've become accustomed to online deliveries (no car.) #shopping #coronacrisis",Negative
"being at the supermarket today was quite fun thanks to social distancing. 

felt like a giant game of pacman. 

#socialdistancing #coronavirus #covid_19",Extremely Positive
coronavirus and house prices: how the uk housing market could be affected by the outbreak and lockdown measures #coronavirus #houseprices,Negative
"@david_desj you didnt read my first post carefully. the covid-19 impacts are real. but a drop in stock prices doesnt necessarily have to translate into a drop in demand for the majority of everyday buyers. why would it, unless youre talking about pe",Extremely Negative
"austerity capitalism enveloped the world these past years. it propped up states by raising the cost of living for everyone. the poorest renter and middle class business owner both paid inflated prices. 

there is no safety net.

#covid2019 
#impact",Negative
"the @nationalfarmers has declared it is business as usual despite the global coronavirus crisis, urging australians to let go of their fears amid scenes of panic-buying and empty supermarket shelves.",Extremely Negative
@samkelemaseko @cyrilramaphosa even their prices have been inflated because of these covid 19 demand. kwikspar at kempton park,Negative
have been dodging grocery store lines for long enough and decided to go to @heb in #austin... it looks like a war zone. i feel for their team.  be nice to someone today. #coronavirus,Neutral
food banks are trying to keep up with a spike in demand says it went up by almost 40 how they re changing operations to feed people amid the pandemic live on good day las vegas,Positive
"paracetamol only. stop panic-buying nurofen. quit panic-buying food/loo rolls/meds altogether. there will be enough, but not if people continue. please stop!
covid-19: ibuprofen should not be used for managing symptoms, say doctors &; scientists |the bmj",Negative
"beat2394 we are working to keep our clubs stocked and prices fair, alicia. as one would expect, paper products, cleaning supplies and other items are in high demand as members prepare for the possible impact of covid-19.",Positive
"9 ""the new coronavirus has upended all of our usual calculus about seemingly ordinary activities.""

how safe is:
 walking/running past someone on the street? 
 shopping in a grocery store?
 what about packages and takeout?",Positive
"covid-19 has had a severe impact on the brick and mortar outlets across the country due to the lockdown. however, this may positively affect the brands that facilitate online sales, read more  

#covid #coronavirusindia #ecommerce #onlinesales #synclarity",Positive
@jaitdp very good ramakrishna garu.theres no transparency in this government when medical personnel are not getting sufficient ppes and migrant labourers are not getting food and farmers are panic in this covid 19 crisis ?,Extremely Negative
"fear
is the real contagion,
and see how they play the record
day and night,
because #coronavirus #covid19
cannot do more
than a piffling amount of harm
unless
people's immune system
is down
due to orchestrated fear

simple!

lnk:-",Extremely Negative
"@la_primavera_ge 
heartbreaking &; infuriating!!
how shall elderly people stock up a little food when their retirement allowances are (too) small?? that's not unusual! then, in addition, the shelves are emptied by those who have enough to dish out",Extremely Negative
@shaqataq have you been to the supermarket yet? now that's a breeding ground for covid-19 ?????i might be sick too.,Negative
doing business amid what s happening to prices,Neutral
this beijing shopping mall is the busiest i ve seen it since start of pandemic early signs just possibly of that pent up consumer demand officials are banking on 19,Negative
#food supply remains in good shape despite panic buying| #kansas #farmers are adjusting but remain optimistic during the covid-19 outbreak. #covid2019 #coronavirus,Extremely Positive
".@plsbc answers legal questions related to covid-19's impact on work, finances, consumer &; small business problems online at",Negative
"@aidanward25 @kthopkins why wouldn't it be in local press for your area; it's all over my local press for my location &; all the surrounding area's, which is vast??
i recently asked supermarket staff at my local asda &; morrison's, whether they ha",Positive
@governorva @maxss114 what are you doing to ensure essential businesses remain open?  what protocols are in place if a grocery store has a case of covid-19 and needs to shut down in a community?,Positive
we are closing in on the two-week mark since president trump announced a state of national emergency due to the #coronavirus pandemic here in the u.s. and there are already signs that this may reshape the consumer landscape forever.,Negative
@markstephenson2 @piersmorgan then bumbling @borisjohnson needs to order the supermarket managers to sort it. apparently they are in ireland and everywhere else in the world - just not here. its insanity. the man is totally incompetent. he needs to star,Negative
"never thought i'd say this, but. 2019, will you come back!? please! #coronavirus #covid19 #peoplearelosingtheirminds #stopthemadness #stoppanicbuying",Extremely Positive
#nctechmember @trendmicro offering six months free access to consumer security product during #covid19 pandemic. learn more about this and other #membershelpingmembers and learn how to add yours.,Extremely Positive
do you know what your online grocery options are?,Neutral
"@washingtonpost the symbol of your country is stable: milk - to the earth, hunger - to people... ????

""farmers from across the country are being asked to dump their milk this week, as the restaurant and food service demand crumbled rapidly due to cov",Negative
"social distancing is the name of the game right now. cue, online shopping! heres a list of online stores thatll deliver your shopping right to your door. #covid19sa #coronavirussouthafrica #covid19",Neutral
demand for food support has increased as much as eight-fold.  hunger is another devastating outcome from the covid-19 pandemic.  #hunger #disaster,Negative
when this pandemic is over the new one of single use rubber gloves begins.  i counted 8 pairs of these on the ground at my local grocery store.  #covid?19 #covidiots #coronavirus #climateemergency #canadalockdown #toronto,Neutral
"a message to all medical staff and those in the supermarket/ grocery industry

#coronavirus #thankyou #staysafe",Neutral
the #covid19 pandemic will create increased demand for #industrial cold storage space in the u.s. 46% of this surveyed have confirmed post covid they will continue to food shop online. will europe follow the same trend?,Positive
